user_id,matches,recomendations,train,eval
U_10730596,0,1,3,1
U_10793800,1,1,3,1
U_7107666,0,1,3,1
U_7583238,0,3,8,3
U_31867,0,1,3,1
U_1104459,0,2,4,2
U_9412969,1,5,15,5
U_451534,0,2,4,2
U_7144696,0,2,4,2
U_6076782,0,4,10,4
U_7135397,0,1,3,1
U_554164,0,2,6,2
U_9572399,0,1,3,1
U_7525,0,2,3,2
U_1452475,0,2,6,2
U_9893815,0,2,5,2
U_2022449,0,2,6,2
U_1556110,0,4,9,4
U_7145448,0,1,3,1
U_10651807,0,1,3,1
U_7067079,0,2,3,2
U_173518,0,2,5,2
U_7284419,0,2,5,2
U_6956750,0,2,4,2
U_7207188,0,1,3,1
U_7207189,0,1,3,1
U_9512152,0,1,3,1
U_252554,0,2,5,2
U_2531554,0,2,6,2
U_120916,0,2,3,2
U_8389259,0,1,3,1
U_8650128,0,1,3,1
U_7150872,0,1,3,1
U_6222904,0,3,9,3
U_7006464,1,1,3,1
U_1011738,0,1,3,1
U_10574836,0,2,4,2
U_10302649,0,2,4,2
U_1488447,0,1,3,1
U_8538028,0,2,6,2
U_2830901,0,3,6,3
U_958813,0,2,3,2
U_18071,0,1,3,1
U_9781007,0,2,3,2
U_10374514,0,2,3,2
U_1716371,0,1,3,1
U_6158480,0,3,6,3
U_9058672,0,1,3,1
U_55569,0,1,3,1
U_10322802,0,1,3,1
U_10881369,0,1,3,1
U_9347439,0,1,3,1
U_10509005,0,2,3,2
U_10506581,0,1,3,1
U_10150443,0,3,6,3
U_10888626,0,2,6,2
U_6590035,0,2,3,2
U_9356161,0,1,3,1
U_3691723,0,2,4,2
U_270807,0,1,3,1
U_6705220,0,2,5,2
U_46909,0,2,3,2
U_9640584,0,1,3,1
U_2798341,0,1,3,1
U_306608,0,1,3,1
U_6809430,0,1,3,1
U_7695645,0,1,3,1
U_1086717,0,2,5,2
U_94344,0,1,3,1
U_3230090,0,2,6,2
U_1882550,0,2,3,2
U_9472944,0,1,3,1
U_8460317,0,2,4,2
U_8419902,0,2,4,2
U_7594207,0,3,6,3
U_7594205,0,2,4,2
U_3838240,0,2,3,2
U_2812880,0,1,3,1
U_6425332,0,2,3,2
U_9535745,0,1,3,1
U_8827565,0,1,3,1
U_9274194,0,2,3,2
U_8270628,0,2,3,2
U_2433989,0,2,5,2
U_8155347,0,2,5,2
U_8155344,0,1,3,1
U_8721925,1,2,3,2
U_8721922,0,2,5,2
U_2001862,0,2,5,2
U_10514271,0,2,3,2
U_8516125,0,1,3,1
U_6644028,0,2,3,2
U_11649481,0,2,3,2
U_393880,0,2,3,2
U_5221563,0,3,7,3
U_8976799,0,2,4,2
U_327669,0,1,3,1
U_10794116,1,1,3,1
U_8397890,0,2,5,2
U_8796554,0,3,6,3
U_8796559,0,2,4,2
U_10680978,0,2,5,2
U_6398377,0,2,6,2
U_8719382,0,3,6,3
U_3051451,0,2,6,2
U_8715921,0,2,4,2
U_8454452,0,2,3,2
U_8454457,0,2,4,2
U_1225501,0,1,3,1
U_8415670,0,1,3,1
U_6739437,1,1,3,1
U_6739439,0,1,3,1
U_8550023,0,2,3,2
U_2431560,0,1,3,1
U_9590783,1,2,3,2
U_7748050,0,1,3,1
U_9443238,0,2,5,2
U_7213054,0,2,3,2
U_6852382,0,2,4,2
U_767912,0,4,10,4
U_10560615,0,1,3,1
U_55493,0,2,5,2
U_8522486,1,2,3,2
U_1014112,0,2,4,2
U_327950,0,2,3,2
U_8397140,0,1,3,1
U_9927783,1,1,3,1
U_7431230,0,1,3,1
U_6903091,0,2,5,2
U_9522430,0,3,7,3
U_45373,0,1,3,1
U_7043405,0,2,3,2
U_9495523,0,2,6,2
U_8441455,0,1,3,1
U_5517374,0,2,4,2
U_9511057,1,3,6,3
U_9511059,0,1,3,1
U_61409,0,1,3,1
U_125223,0,1,3,1
U_10253852,0,4,9,4
U_8405660,0,2,3,2
U_11559804,0,3,6,3
U_2660788,1,2,4,2
U_4430183,0,1,3,1
U_10230827,0,2,3,2
U_8544329,0,2,4,2
U_10696053,0,1,3,1
U_8769625,0,2,3,2
U_507046,0,3,6,3
U_507048,0,2,3,2
U_9754079,0,2,3,2
U_405986,0,4,9,4
U_10478563,0,2,4,2
U_1079144,0,1,3,1
U_2505133,0,1,3,1
U_11880096,0,1,3,1
U_10614197,0,2,4,2
U_7963399,0,3,6,3
U_4698383,0,2,3,2
U_11621929,0,1,3,1
U_273462,0,1,3,1
