user_id,num_recomendations,evaluate,matches
U_10248176,2,2,1
U_1024835,4,4,1
U_10248644,3,3,2
U_10249291,4,4,3
U_10250072,2,2,1
U_10251627,2,2,1
U_10252656,2,2,1
U_10253178,2,2,0
U_10253221,2,2,2
U_10253295,2,2,2
U_10253852,4,4,3
U_10253976,2,2,1
U_10256167,2,2,0
U_10256758,2,2,2
U_10256954,5,5,3
U_10257225,2,2,0
U_10257392,3,3,2
U_10257496,2,2,2
U_10258,7,7,4
U_10258088,3,3,1
U_10258800,2,2,1
U_1025895,2,2,1
U_10259161,2,2,1
U_10259176,2,2,2
U_10259205,2,2,1
U_10259484,2,2,2
U_10260197,2,2,2
U_10260240,5,5,2
U_10260302,3,3,2
U_10261808,3,3,3
U_10262538,3,3,3
U_10263,3,3,2
U_10263226,2,2,1
U_10263407,2,2,0
U_10263464,2,2,2
U_10263477,2,2,0
U_10264445,3,3,2
U_10267701,2,2,2
U_10269627,2,2,2
U_10269753,2,2,1
U_10270081,2,2,1
U_10270552,2,2,1
U_102710,3,3,2
U_10271519,2,2,1
U_10271782,2,2,2
U_10273373,2,2,1
U_10274291,2,2,2
U_10274403,2,2,2
U_10274521,2,2,2
U_10274623,2,2,2
U_10274839,2,2,2
U_10274858,2,2,2
U_10274913,2,2,1
U_10276811,2,2,1
U_10277094,2,2,2
U_10277322,2,2,1
U_10277816,7,7,1
U_10277962,2,2,1
U_10278438,3,3,1
U_10278525,3,3,2
U_10278535,2,2,1
U_10278793,2,2,2
U_10278947,5,5,3
U_10279061,2,2,0
U_10279350,4,4,3
U_10280133,2,2,2
U_10280813,2,2,2
U_10281850,2,2,2
U_10282011,2,2,2
U_10282208,2,2,2
U_102827,5,5,2
U_10282913,2,2,2
U_10283725,2,2,1
U_10283823,2,2,1
U_10284540,2,2,2
U_10287597,2,2,1
U_10288016,3,3,2
U_10289707,3,3,2
U_10289907,2,2,2
U_10289925,2,2,2
U_10290575,2,2,1
U_10290608,2,2,1
U_10291845,3,3,2
U_10292562,2,2,1
U_10293087,6,6,2
U_10293443,2,2,1
U_10293520,2,2,2
U_10293646,2,2,0
U_10293775,2,2,2
U_10294068,4,4,4
U_10294238,2,2,1
U_10294381,3,3,1
U_10294399,2,2,1
U_10294569,4,4,2
U_10294591,2,2,1
U_10294671,2,2,2
U_10295047,3,3,2
U_10295649,2,2,2
U_10296127,2,2,1
U_10296872,2,2,2
U_10296950,2,2,1
U_10297293,2,2,1
U_10298376,2,2,1
U_10298673,2,2,2
U_10298688,2,2,1
U_10299843,2,2,2
U_10299887,3,3,2
U_10300171,2,2,0
U_10300186,3,3,2
U_10300236,2,2,1
U_10300470,2,2,2
U_10300638,2,2,0
U_10300993,3,3,2
U_10301049,3,3,3
U_10301166,4,4,2
U_10301524,2,2,1
U_10301531,2,2,1
U_10301654,3,3,1
U_10301816,2,2,1
U_10302063,2,2,1
U_10302066,2,2,2
U_10302649,2,2,1
U_10303198,2,2,1
U_10303276,2,2,2
U_10303895,2,2,2
U_10304684,3,3,2
U_10305875,2,2,2
U_10305910,3,3,2
U_10306015,4,4,3
U_10306066,2,2,0
U_10306108,2,2,1
U_10306622,2,2,1
U_10306785,3,3,2
U_10306868,3,3,2
U_10307137,2,2,1
U_10307195,2,2,2
U_10307230,3,3,2
U_10308180,2,2,2
U_10308495,2,2,1
U_10308707,2,2,0
U_10309335,4,4,3
U_10309506,2,2,1
U_10310405,2,2,1
U_10310666,3,3,2
U_10311561,2,2,0
U_10312722,3,3,2
U_10312803,2,2,1
U_10313112,3,3,2
U_10313223,2,2,1
U_10313288,2,2,2
U_10313416,2,2,1
U_10314499,2,2,2
U_10314729,2,2,1
U_10314822,2,2,1
U_10315225,3,3,2
U_10315571,2,2,1
U_10316457,3,3,2
U_10317163,3,3,2
U_10317165,2,2,1
U_10317275,2,2,2
U_10317419,2,2,1
U_10317471,2,2,1
U_10317887,2,2,2
U_10318447,3,3,3
U_10318776,6,6,3
U_10320106,2,2,1
U_10320360,2,2,2
U_10320396,2,2,1
U_10321091,3,3,2
U_10321327,3,3,2
U_10321500,7,7,3
U_10321863,2,2,2
U_10322015,2,2,2
U_10322327,2,2,1
U_10327483,2,2,1
U_10329327,2,2,1
U_10329328,2,2,1
U_10329515,2,2,1
U_10329687,2,2,2
U_10330042,3,3,0
U_10331225,5,5,3
U_10331376,2,2,1
U_10334156,3,3,1
U_10334807,3,3,2
U_10336847,2,2,1
U_10338201,4,4,2
U_10338587,2,2,2
U_10339043,3,3,2
U_10339507,3,3,2
U_10339726,5,5,3
U_10339978,3,3,3
U_10340655,2,2,2
U_10341261,2,2,1
U_10342636,2,2,1
U_10342689,2,2,1
U_10343088,4,4,3
U_10344367,3,3,2
U_10345983,2,2,1
U_10345996,2,2,2
U_10346029,2,2,1
U_10346325,2,2,1
U_10346337,2,2,1
U_10346400,2,2,2
U_10348259,2,2,2
U_10348570,2,2,1
U_10349085,2,2,1
U_10349547,2,2,2
U_10350832,2,2,2
U_10351062,4,4,3
U_10351681,2,2,2
U_10351809,2,2,1
U_10352015,2,2,2
U_10352027,2,2,1
U_10352959,3,3,3
U_10353083,2,2,1
U_10353189,2,2,2
U_10354325,2,2,2
U_10354534,2,2,1
U_10354711,2,2,1
U_10355826,2,2,1
U_10356592,2,2,1
U_10357992,2,2,1
U_10358067,7,7,3
U_10358199,2,2,1
U_10358632,2,2,1
U_10359330,3,3,1
U_10360662,2,2,2
U_10361132,2,2,2
U_10361523,2,2,1
U_10361556,2,2,2
U_1036217,3,3,2
U_10362377,4,4,3
U_10362724,2,2,2
U_10362769,3,3,2
U_10362949,2,2,1
U_10362980,3,3,2
U_10363027,2,2,1
U_10363489,2,2,2
U_10363559,2,2,2
U_10363952,2,2,2
U_10364063,2,2,1
U_10364343,3,3,1
U_10364664,2,2,2
U_10364770,2,2,1
U_1036556,2,2,2
U_10366490,2,2,1
U_10366628,2,2,1
U_10366771,3,3,1
U_10366992,2,2,1
U_10367092,3,3,3
U_10367335,2,2,1
U_10367452,2,2,1
U_10367601,2,2,1
U_10367854,2,2,2
U_10368900,2,2,2
U_10368962,2,2,1
U_10369073,2,2,0
U_10371681,2,2,0
U_10371949,4,4,1
U_10372662,2,2,1
U_1037315,2,2,1
U_10373468,3,3,1
U_103748,2,2,2
U_103749,3,3,3
U_10374954,7,7,4
U_1037496,2,2,1
U_10376082,3,3,3
U_10376104,2,2,1
U_10377260,3,3,2
U_10378014,2,2,1
U_10378504,2,2,1
U_10379118,3,3,3
U_10379406,3,3,1
U_10381736,2,2,1
U_10382939,3,3,3
U_10383027,3,3,1
U_10383257,2,2,1
U_10384299,2,2,1
U_10385144,2,2,2
U_1038535,3,3,3
U_10385390,2,2,1
U_10385781,3,3,2
U_10386306,2,2,1
U_10386869,3,3,2
U_10386910,2,2,2
U_1038736,2,2,1
U_10387417,2,2,1
U_10387937,2,2,2
U_10388097,2,2,1
U_10388135,2,2,1
U_10388254,2,2,2
U_1038830,2,2,2
U_10388395,3,3,1
U_10388868,5,5,1
U_10388927,4,4,0
U_10390473,2,2,2
U_10390718,2,2,1
U_10390883,2,2,1
U_10391058,2,2,2
U_1039108,2,2,2
U_10391112,2,2,1
U_10391329,4,4,2
U_10391692,2,2,1
U_103917,3,3,2
U_10392457,2,2,2
U_10392541,2,2,2
U_10392546,2,2,1
U_103931,7,7,4
U_10393232,2,2,2
U_1039407,2,2,2
U_10394453,2,2,1
U_10394686,2,2,1
U_10396354,4,4,1
U_10397372,3,3,2
U_10397966,5,5,3
U_10398127,2,2,1
U_1039848,2,2,1
U_10398616,2,2,1
U_1039913,4,4,3
U_10399465,2,2,0
U_10399541,2,2,2
U_10400534,3,3,1
U_1040057,4,4,3
U_10400859,2,2,1
U_10400943,4,4,1
U_10402054,3,3,2
U_10402070,2,2,1
U_10402134,2,2,0
U_10402171,2,2,2
U_10402302,2,2,1
U_10402333,2,2,1
U_10402381,2,2,2
U_10402579,2,2,2
U_10402786,3,3,3
U_10403414,2,2,1
U_10403525,2,2,1
U_10404419,2,2,1
U_10404423,4,4,2
U_10404671,3,3,2
U_10404942,5,5,3
U_1040540,2,2,2
U_1040575,3,3,1
U_10408386,2,2,1
U_10408411,2,2,2
U_1040879,2,2,2
U_10409908,2,2,2
U_1041016,2,2,2
U_10410928,2,2,1
U_10410956,2,2,2
U_10411502,2,2,1
U_10411520,3,3,2
U_10412108,5,5,3
U_104123,2,2,2
U_10412424,3,3,2
U_10413006,2,2,1
U_10413418,2,2,2
U_10413604,2,2,1
U_10414005,3,3,2
U_10414049,4,4,2
U_10414528,2,2,2
U_10414728,2,2,1
U_10415335,2,2,2
U_1041558,2,2,2
U_10416240,2,2,1
U_10416380,2,2,1
U_10416390,2,2,1
U_10416518,2,2,1
U_10417169,2,2,1
U_10417239,2,2,1
U_10418327,2,2,2
U_10418575,2,2,1
U_10418604,2,2,1
U_10418680,2,2,1
U_10419399,2,2,2
U_10419545,2,2,1
U_104198,2,2,1
U_10420215,2,2,2
U_10420230,2,2,2
U_104208,2,2,1
U_10420807,3,3,1
U_10420823,2,2,1
U_1042093,2,2,1
U_10421154,2,2,2
U_10421589,2,2,1
U_10421739,4,4,1
U_10421791,2,2,1
U_10422487,2,2,1
U_1042284,3,3,2
U_10423451,2,2,1
U_10423526,3,3,2
U_10423552,2,2,1
U_10424657,3,3,2
U_10426,2,2,1
U_10426536,4,4,2
U_10426847,2,2,2
U_10427026,2,2,1
U_10427288,2,2,1
U_10428349,2,2,1
U_10428545,2,2,1
U_10429056,2,2,1
U_10429190,2,2,1
U_10429217,2,2,1
U_10429963,2,2,1
U_10430246,2,2,1
U_10430279,2,2,2
U_10430698,2,2,1
U_10431382,2,2,1
U_10431708,2,2,1
U_10431754,2,2,1
U_10431765,4,4,1
U_10431806,2,2,1
U_1043187,3,3,3
U_10432398,3,3,0
U_10433275,2,2,1
U_10433468,3,3,2
U_10433794,2,2,1
U_10434168,3,3,3
U_10434271,2,2,1
U_10434837,2,2,1
U_104356,2,2,2
U_10436386,3,3,3
U_10436930,3,3,2
U_10437184,2,2,2
U_10437337,2,2,2
U_10438299,2,2,1
U_1043850,3,3,2
U_10438655,2,2,2
U_10438948,2,2,1
U_10439195,4,4,3
U_10439350,9,9,6
U_10439833,2,2,1
U_10439928,3,3,2
U_10440183,2,2,1
U_1044053,16,16,8
U_10440706,3,3,2
U_10441232,2,2,1
U_1044152,2,2,2
U_10441537,2,2,2
U_10441727,2,2,1
U_10441840,3,3,3
U_10441973,2,2,1
U_10441999,2,2,1
U_10442022,2,2,1
U_10442042,2,2,1
U_10442302,2,2,2
U_10442924,5,5,2
U_10443,2,2,1
U_1044434,3,3,2
U_10444484,2,2,1
U_10444499,2,2,1
U_10444712,6,6,3
U_10444940,2,2,2
U_10445293,2,2,1
U_10445511,2,2,2
U_10446515,4,4,1
U_10446807,3,3,3
U_10447004,2,2,1
U_1044717,4,4,2
U_10447369,2,2,1
U_10447614,2,2,2
U_10447643,2,2,2
U_10447788,2,2,2
U_10447850,2,2,1
U_10447976,3,3,1
U_104480,3,3,2
U_10448318,2,2,0
U_10448491,3,3,1
U_10448598,3,3,2
U_10448745,5,5,2
U_10449150,2,2,2
U_10449282,2,2,2
U_10449346,3,3,2
U_10449707,2,2,1
U_10449731,2,2,1
U_10449761,3,3,2
U_10450632,2,2,1
U_10450711,3,3,2
U_10451003,3,3,1
U_10451110,7,7,1
U_10451278,2,2,1
U_10451645,4,4,2
U_10452483,3,3,2
U_10452717,2,2,2
U_104528,3,3,3
U_10453184,2,2,1
U_10453690,2,2,1
U_10454803,2,2,1
U_10455243,2,2,1
U_10455738,2,2,1
U_10456,2,2,2
U_10456132,2,2,2
U_1045629,2,2,2
U_10456397,2,2,1
U_10456469,2,2,1
U_10457010,2,2,1
U_10457059,2,2,2
U_10457318,2,2,2
U_10457817,3,3,1
U_1045782,2,2,2
U_10457848,2,2,1
U_10458341,2,2,1
U_1045848,2,2,2
U_10458835,2,2,1
U_10458898,5,5,2
U_10459022,2,2,1
U_10459488,2,2,2
U_10460431,2,2,1
U_10460485,2,2,2
U_10460921,2,2,1
U_1046099,2,2,2
U_10461744,2,2,1
U_10461772,2,2,1
U_10461851,2,2,2
U_1046272,2,2,2
U_10462939,2,2,1
U_10463014,2,2,0
U_10464699,2,2,1
U_10464717,2,2,2
U_10464853,2,2,1
U_10466050,2,2,1
U_10466082,2,2,1
U_10466269,2,2,1
U_10466458,2,2,0
U_10466912,2,2,1
U_10467877,2,2,0
U_10468232,2,2,1
U_1046870,3,3,3
U_1046965,2,2,1
U_1046984,2,2,0
U_10469898,2,2,1
U_10470074,2,2,1
U_10471085,2,2,2
U_1047175,3,3,3
U_10471929,3,3,1
U_10472371,2,2,1
U_10472632,2,2,2
U_10473787,2,2,1
U_10473864,2,2,1
U_1047403,2,2,2
U_10474725,4,4,2
U_1047500,3,3,3
U_1047520,2,2,1
U_10475246,3,3,2
U_10475366,2,2,1
U_10475536,2,2,1
U_10475639,2,2,2
U_10475690,3,3,2
U_10476896,2,2,2
U_10477384,3,3,2
U_10477667,2,2,2
U_10478105,4,4,2
U_10478118,2,2,1
U_10478369,3,3,2
U_10478402,2,2,2
U_10478563,2,2,2
U_10478741,2,2,1
U_10478924,2,2,2
U_10478989,2,2,2
U_10480048,2,2,1
U_10480057,6,6,4
U_10481268,2,2,2
U_10481545,3,3,2
U_10482644,3,3,1
U_10483309,3,3,3
U_10483838,2,2,1
U_10483902,4,4,2
U_10484046,2,2,2
U_10484161,5,5,4
U_10484530,3,3,2
U_10484613,3,3,1
U_10485103,2,2,1
U_10485285,2,2,2
U_10485500,2,2,1
U_10485779,2,2,2
U_10486146,2,2,1
U_10486519,2,2,1
U_10486810,2,2,2
U_10487510,2,2,2
U_10487532,2,2,2
U_10487940,2,2,1
U_10488122,3,3,2
U_10488259,2,2,2
U_10488412,2,2,0
U_10488418,2,2,2
U_10488476,3,3,2
